Med	Gen	Rep	Perm	FY
11	3	1	9	9.849
11	3	2	10	47.97
11	3	3	11	12.149
11	3	4	12	30.028
11	4	1	13	76.129
11	4	2	14	42.112
11	4	3	15	53.03
11	4	4	16	89.721
11	5	1	17	18.036
11	5	2	18	22.3
11	5	3	19	23.988
11	5	4	20	18.84
11	6	1	21	45.348
11	6	2	22	17.8
11	6	3	23	30.27
11	6	4	24	26.431
11	7	1	25	27.968
11	7	2	26	62.303
11	7	3	27	55.678
11	7	4	28	26.656
11	8	1	29	1.03
11	8	2	30	49
11	8	3	31	10.187
11	8	4	32	6.3
11	9	1	33	19
11	9	2	34	10.558
11	9	3	35	11.023
11	9	4	36	8.699
11	10	1	37	27.304
11	10	2	38	41
11	10	3	39	27.34
11	10	4	40	33.72
11	11	1	41	56.603
11	11	2	42	71.649
11	11	3	43	26.988
11	11	4	44	46.698
11	12	1	45	6.86
11	12	2	46	12.317
11	12	3	47	10.134
11	12	4	48	23.566
11	13	1	49	25.648
11	13	2	50	54.491
11	13	3	51	26.967
11	13	4	52	36.553
11	14	1	53	42.633
11	14	2	54	68.36
11	14	3	55	42.87
11	14	4	56	50.28
11	15	1	57	42.633
11	15	2	58	57.201
11	15	3	59	55.01
11	15	4	60	40.376
11	16	1	61	23
11	16	2	62	40.122
11	16	3	63	54.93
11	16	4	64	89.895
11	17	1	65	34.86
11	17	2	66	18.13
11	17	3	67	28.06
11	17	4	68	25.964
11	18	1	69	61.19
11	18	2	70	49.988
11	18	3	71	68.244
11	18	4	72	20.14
11	19	1	73	45.668
11	19	2	74	43.006
11	19	3	75	39.398
11	19	4	76	69.443
11	20	1	77	34.011
11	20	2	78	11.003
11	20	3	79	22.63
11	20	4	80	64.383
11	21	1	81	5.1
11	21	2	82	2.013
11	21	3	83	10.243
11	21	4	84	10.01
11	22	1	85	71.96
11	22	2	86	41.512
11	22	3	87	75.312
11	22	4	88	51.969
11	23	1	89	26.59
11	23	2	90	75.388
11	23	3	91	28
11	23	4	92	69.03
11	24	1	93	29.968
11	24	2	94	42
11	24	3	95	26.98
11	24	4	96	36.79
12	1	1	1	22.713
12	1	2	2	65.481
12	1	3	3	27.1
12	1	4	4	64.39
12	2	1	5	35.1
12	2	2	6	45.033
12	2	3	7	44.401
12	2	4	8	26.7
12	3	1	9	9.6
12	3	2	10	52.202
12	3	3	11	18.9
12	3	4	12	21.968
12	4	1	13	80.101
12	4	2	14	42.72
12	4	3	15	48.683
12	4	4	16	77.811
12	5	1	17	9.888
12	5	2	18	9.1
12	5	3	19	10.002
12	5	4	20	8.863
12	6	1	21	36.01
12	6	2	22	16.301
12	6	3	23	12.988
12	6	4	24	23.932
12	7	1	25	23.201
12	7	2	26	65.64
12	7	3	27	27.391
12	7	4	28	24.18
12	8	1	29	24.183
12	8	2	30	43.701
12	8	3	31	25.708
12	8	4	32	0.755
12	9	1	33	1.013
12	9	2	34	0.48
12	9	3	35	0.701
12	9	4	36	NA
12	10	1	37	28.74
12	10	2	38	41.63
12	10	3	39	10.566
12	10	4	40	21.175
12	11	1	41	46.551
12	11	2	42	63.203
12	11	3	43	23.95
12	11	4	44	48.386
12	12	1	45	8.203
12	12	2	46	11.102
12	12	3	47	10.93
12	12	4	48	17.802
12	13	1	49	26.98
12	13	2	50	70.161
12	13	3	51	28.653
12	13	4	52	48.06
12	14	1	53	23.23
12	14	2	54	73.73
12	14	3	55	43.728
12	14	4	56	56
12	15	1	57	40.204
12	15	2	58	59.51
12	15	3	59	55.615
12	15	4	60	44.863
12	16	1	61	19.993
12	16	2	62	48.05
12	16	3	63	28.102
12	16	4	64	99.312
12	17	1	65	15.83
12	17	2	66	16.71
